Company Name,Symbol,Macro Economic Classification,Sector,Industry,Basic Industry,Market Cap,Free Float Market Cap
Sun TV Network Ltd.,SUNTV,Consumer Discretionary,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production,22088.44,5521.823588
Supreme Industries Ltd.,SUPREMEIND,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,53103.58,26953.20149
Suzlon Energy Ltd.,SUZLON,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,87966.07,76291.74387
Swan Energy Ltd.,SWANENERGY,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals,13361.1,5929.843131
Swiggy Ltd.,SWIGGY,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce,99122.46,15415.82296
Sterling and Wilson Renewable Energy Ltd.,SWSOLAR,Industrials,Construction,Construction,Civil Construction,6203.94,3366.309633
Syngene International Ltd.,SYNGENE,Healthcare,Healthcare,Healthcare Services,Healthcare Research Analytics & Technology,27117.82,12720.78093
Syrma SGS Technology Ltd.,SYRMA,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,12715.14,4392.673058
Tanla Platforms Ltd.,TANLA,Information Technology,Information Technology,IT - Software,Software Products,8639.74,4602.64117
Transformers And Rectifiers (India) Ltd.,TARIL,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,15242.42,5425.219682
Tata Chemicals Ltd.,TATACHEM,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,24456.6,14977.46805
Tata Communications Ltd.,TATACOMM,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services,47746.05,19620.61855
Tata Consumer Products Ltd.,TATACONSUM,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee,104118.74,68336.77399
Tata Elxsi Ltd.,TATAELXSI,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,36682.83,20359.373
Tata Investment Corporation Ltd.,TATAINVEST,Financial Services,Financial Services,Finance,Investment Company,35062.54,8982.18128
Tata Motors Ltd.,TATAMOTORS,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,239327.29,135307.2746
Tata Power Co. Ltd.,TATAPOWER,Utilities,Power,Power,Integrated Power Utilities,123499.87,64722.7022
Tata Steel Ltd.,TATASTEEL,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel,199524.21,131806.2949
Tata Technologies Ltd.,TATATECH,Information Technology,Information Technology,IT - Services,IT Enabled Services,27218.33,10318.84997
TBO Tek Ltd.,TBOTEK,Consumer Discretionary,Consumer Services,Leisure Services,Tour Travel Related Services,14892.81,4546.240274
Tata Consultancy Services Ltd.,TCS,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,1103191.07,310538.3561
Tech Mahindra Ltd.,TECHM,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,145721.42,94166.05326
Techno Electric & Engineering Company Ltd.,TECHNOE,Industrials,Construction,Construction,Civil Construction,16234.26,6980.032667
Tejas Networks Ltd.,TEJASNET,Telecommunication,Telecommunication,Telecom - Equipment & Accessories,Telecom - Equipment & Accessories,10156.2,4600.577326
Thermax Ltd.,THERMAX,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,39714.79,12876.4102
Tube Investments of India Ltd.,TIINDIA,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,57178.63,31460.08055
Timken India Ltd.,TIMKEN,Industrials,Capital Goods,Industrial Products,Abrasives & Bearings,21812.68,10382.09437
Titagarh Rail Systems Ltd.,TITAGARH,Industrials,Capital Goods,Industrial Manufacturing,Railway Wagons,11530.09,6839.732855
Titan Company Ltd.,TITAN,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,302024.85,139949.5575
Torrent Pharmaceuticals Ltd.,TORNTPHARM,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,121671.14,37495.88057
Torrent Power Ltd.,TORNTPOWER,Utilities,Power,Power,Integrated Power Utilities,68480.49,25785.02794
Trent Ltd.,TRENT,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,188977.13,117821.1959
Trident Ltd.,TRIDENT,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,14396.07,3476.436115
Triveni Turbine Ltd.,TRITURBINE,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,16574.1,5995.200838
Triveni Engineering & Industries Ltd.,TRIVENI,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,7252.09,2825.261845
Tata Teleservices (Maharashtra) Ltd.,TTML,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services,11326.85,2904.000777
TVS Motor Company Ltd.,TVSMOTOR,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers,143357.54,70672.39842
United Breweries Ltd.,UBL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,51183.55,13938.71346
UCO Bank,UCOBANK,Financial Services,Financial Services,Banks,Public Sector Bank,35374.1,3200.86044
UltraTech Cement Ltd.,ULTRACEMCO,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,362219.64,145489.5016
Union Bank of India,UNIONBANK,Financial Services,Financial Services,Banks,Public Sector Bank,101305.58,25571.75712
United Spirits Ltd.,UNITDSPR,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,94235.58,38156.92729
UNO Minda Ltd.,UNOMINDA,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,63650.02,19764.41416
UPL Ltd.,UPL,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,52884.06,35553.74291
Usha Martin Ltd.,USHAMART,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,10672.06,6011.676505
UTI Asset Management Company Ltd.,UTIAMC,Financial Services,Financial Services,Capital Markets,Asset Management Company,17165.92,5549.36543
Varun Beverages Ltd.,VBL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Other Beverages,170110.42,67238.52496
Vedanta Ltd.,VEDL,Commodities,Metals & Mining,Diversified Metals,Diversified Metals,171275,74090.65198
V-Guard Industries Ltd.,VGUARD,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,15665.44,6568.830783
Vijaya Diagnostic Centre Ltd.,VIJAYA,Healthcare,Healthcare,Healthcare Services,Healthcare Service Provider,10884.83,5109.547782
Vishal Mega Mart Ltd.,VMM,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail,67459.36,16421.76644
Voltas Ltd.,VOLTAS,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,43312.81,29719.08627
Vardhman Textiles Ltd.,VTL,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,11702.12,4133.819401
Waaree Energies Ltd.,WAAREEENER,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,91068.77,10272.64879
Welspun Corp Ltd.,WELCORP,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,22926.63,11385.82153
Welspun Living Ltd.,WELSPUNLIV,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,11412.96,3696.816153
Westlife Foodworld Ltd.,WESTLIFE,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants,10630.47,4612.828845
Whirlpool of India Ltd.,WHIRLPOOL,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,16404.53,7987.774611
Wipro Ltd.,WIPRO,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,254526.89,69067.14498
Wockhardt Ltd.,WOCKPHARMA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,24861.92,12604.14657
Yes Bank Ltd.,YESBANK,Financial Services,Financial Services,Banks,Private Sector Bank,59004.35,35386.20976
Zee Entertainment Enterprises Ltd.,ZEEL,Consumer Discretionary,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production,11042.13,10580.4487
Zensar Technolgies Ltd.,ZENSARTECH,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,17975.91,9031.851393
Zen Technologies Ltd.,ZENTEC,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,13173.36,6633.855283
ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,25283.79,9241.427322
Zydus Lifesciences Ltd.,ZYDUSLIFE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,95255.14,23574.50425
